,_id,ico_phase_ended,ind_coinmarketcap,ind_cryptocompare,ind_cryptowatch,ind_ravneeticoprice,name
1790,5b40605c57c41002aa12e098,1,0,0,0,0,Finom
1434,5b40605c57c41002aa12df34,1,1,0,0,0,FintruX Network
1484,5b40605c57c41002aa12df66,1,0,0,0,0,Fire Lotto
1636,5b40605c57c41002aa12dffe,1,0,0,0,0,First Token Asia
1135,5b40605c57c41002aa12de09,1,0,0,0,0,Fissacoin
629,5b40605c57c41002aa12dc0f,1,1,1,0,1,Fitrova
595,5b40605c57c41002aa12dbed,1,0,0,0,0,Fixy Network
771,5b40605c57c41002aa12dc9d,1,0,0,0,0,Flashmoni
2315,5b40605c57c41002aa12e2a5,1,0,0,0,0,Flashonomy
1811,5b40605c57c41002aa12e0ad,1,0,0,0,0,Flashtoken
2337,5b40605c57c41002aa12e2bb,1,0,0,0,0,FlipCoin
478,5b40605c57c41002aa12db78,0,0,1,0,0,FlipNpik
2080,5b40605c57c41002aa12e1ba,1,1,1,0,0,Flixxo
1722,5b40605c57c41002aa12e054,1,0,0,0,0,Florio
1947,5b40605c57c41002aa12e135,1,0,0,0,0,Flowfeed
1788,5b40605c57c41002aa12e096,1,0,1,0,0,FluzFluz
796,5b40605c57c41002aa12dcb6,1,0,0,0,0,Folk Coin
923,5b40605c57c41002aa12dd35,1,0,0,0,0,FolleX™
1967,5b40605c57c41002aa12e149,1,0,0,0,0,Follow Extension
1909,5b40605c57c41002aa12e10f,1,0,0,0,0,FoodCoin Ecosystem
2589,5b40605d57c41002aa12e3b7,1,0,0,0,0,FootballCoin
1886,5b40605c57c41002aa12e0f8,1,0,0,0,0,Foreground
89,5b40605c57c41002aa12d9f3,1,0,0,0,0,Forever Has Fallen
1670,5b40605c57c41002aa12e020,1,0,0,0,0,FortKnoxster 
1146,5b40605c57c41002aa12de14,1,1,1,0,0,Forty Seven Bank
865,5b40605c57c41002aa12dcfb,1,0,0,0,0,Fosha
872,5b40605c57c41002aa12dd02,1,0,1,0,0,Fox Trading
1139,5b40605c57c41002aa12de0d,1,0,0,0,0,Fractal Token
1772,5b40605c57c41002aa12e086,1,0,0,0,0,Freedom Streaming
1104,5b40605c57c41002aa12ddea,1,0,0,0,0,FreelancerCoin 
1301,5b40605c57c41002aa12deaf,1,0,0,0,0,Friend Unifying Platform
2486,5b40605c57c41002aa12e350,1,1,1,0,0,Fujinto
806,5b40605c57c41002aa12dcc0,1,0,1,0,0,Fund Platform
